barrio,dia,hora,cantidad,numero_dia
SAAVEDRA,Friday,0,6,5. Friday
SAAVEDRA,Friday,1,7,5. Friday
SAAVEDRA,Friday,2,0,5. Friday
SAAVEDRA,Friday,3,1,5. Friday
SAAVEDRA,Friday,4,0,5. Friday
SAAVEDRA,Friday,5,2,5. Friday
SAAVEDRA,Friday,6,0,5. Friday
SAAVEDRA,Friday,7,6,5. Friday
SAAVEDRA,Friday,8,29,5. Friday
SAAVEDRA,Friday,9,35,5. Friday
SAAVEDRA,Friday,10,41,5. Friday
SAAVEDRA,Friday,11,36,5. Friday
SAAVEDRA,Friday,12,38,5. Friday
SAAVEDRA,Friday,13,36,5. Friday
SAAVEDRA,Friday,14,36,5. Friday
SAAVEDRA,Friday,15,27,5. Friday
SAAVEDRA,Friday,16,25,5. Friday
SAAVEDRA,Friday,17,28,5. Friday
SAAVEDRA,Friday,18,30,5. Friday
SAAVEDRA,Friday,19,24,5. Friday
SAAVEDRA,Friday,20,17,5. Friday
SAAVEDRA,Friday,21,11,5. Friday
SAAVEDRA,Friday,22,9,5. Friday
SAAVEDRA,Friday,23,5,5. Friday
SAAVEDRA,Monday,0,7,1. Monday
SAAVEDRA,Monday,1,7,1. Monday
SAAVEDRA,Monday,2,0,1. Monday
SAAVEDRA,Monday,3,0,1. Monday
SAAVEDRA,Monday,4,0,1. Monday
SAAVEDRA,Monday,5,0,1. Monday
SAAVEDRA,Monday,6,0,1. Monday
SAAVEDRA,Monday,7,5,1. Monday
SAAVEDRA,Monday,8,19,1. Monday
SAAVEDRA,Monday,9,21,1. Monday
SAAVEDRA,Monday,10,22,1. Monday
SAAVEDRA,Monday,11,35,1. Monday
SAAVEDRA,Monday,12,26,1. Monday
SAAVEDRA,Monday,13,36,1. Monday
SAAVEDRA,Monday,14,20,1. Monday
SAAVEDRA,Monday,15,23,1. Monday
SAAVEDRA,Monday,16,38,1. Monday
SAAVEDRA,Monday,17,34,1. Monday
SAAVEDRA,Monday,18,38,1. Monday
SAAVEDRA,Monday,19,30,1. Monday
SAAVEDRA,Monday,20,16,1. Monday
SAAVEDRA,Monday,21,23,1. Monday
SAAVEDRA,Monday,22,20,1. Monday
SAAVEDRA,Monday,23,8,1. Monday
SAAVEDRA,Tuesday,0,12,2. Tuesday
SAAVEDRA,Tuesday,1,4,2. Tuesday
SAAVEDRA,Tuesday,2,1,2. Tuesday
SAAVEDRA,Tuesday,3,1,2. Tuesday
SAAVEDRA,Tuesday,4,1,2. Tuesday
SAAVEDRA,Tuesday,5,0,2. Tuesday
SAAVEDRA,Tuesday,6,1,2. Tuesday
SAAVEDRA,Tuesday,7,5,2. Tuesday
SAAVEDRA,Tuesday,8,20,2. Tuesday
SAAVEDRA,Tuesday,9,34,2. Tuesday
SAAVEDRA,Tuesday,10,35,2. Tuesday
SAAVEDRA,Tuesday,11,28,2. Tuesday
SAAVEDRA,Tuesday,12,27,2. Tuesday
SAAVEDRA,Tuesday,13,42,2. Tuesday
SAAVEDRA,Tuesday,14,32,2. Tuesday
SAAVEDRA,Tuesday,15,22,2. Tuesday
SAAVEDRA,Tuesday,16,27,2. Tuesday
SAAVEDRA,Tuesday,17,40,2. Tuesday
SAAVEDRA,Tuesday,18,23,2. Tuesday
SAAVEDRA,Tuesday,19,46,2. Tuesday
SAAVEDRA,Tuesday,20,15,2. Tuesday
SAAVEDRA,Tuesday,21,11,2. Tuesday
SAAVEDRA,Tuesday,22,7,2. Tuesday
SAAVEDRA,Tuesday,23,6,2. Tuesday
SAAVEDRA,Saturday,0,11,6. Saturday
SAAVEDRA,Saturday,1,11,6. Saturday
SAAVEDRA,Saturday,2,4,6. Saturday
SAAVEDRA,Saturday,3,6,6. Saturday
SAAVEDRA,Saturday,4,1,6. Saturday
SAAVEDRA,Saturday,5,0,6. Saturday
SAAVEDRA,Saturday,6,2,6. Saturday
SAAVEDRA,Saturday,7,9,6. Saturday
SAAVEDRA,Saturday,8,8,6. Saturday
SAAVEDRA,Saturday,9,17,6. Saturday
SAAVEDRA,Saturday,10,23,6. Saturday
SAAVEDRA,Saturday,11,24,6. Saturday
SAAVEDRA,Saturday,12,22,6. Saturday
SAAVEDRA,Saturday,13,23,6. Saturday
SAAVEDRA,Saturday,14,13,6. Saturday
SAAVEDRA,Saturday,15,14,6. Saturday
SAAVEDRA,Saturday,16,22,6. Saturday
SAAVEDRA,Saturday,17,17,6. Saturday
SAAVEDRA,Saturday,18,31,6. Saturday
SAAVEDRA,Saturday,19,21,6. Saturday
SAAVEDRA,Saturday,20,14,6. Saturday
SAAVEDRA,Saturday,21,11,6. Saturday
SAAVEDRA,Saturday,22,8,6. Saturday
SAAVEDRA,Saturday,23,9,6. Saturday
SAAVEDRA,Thursday,0,5,4. Thursday
SAAVEDRA,Thursday,1,7,4. Thursday
SAAVEDRA,Thursday,2,2,4. Thursday
SAAVEDRA,Thursday,3,0,4. Thursday
SAAVEDRA,Thursday,4,0,4. Thursday
SAAVEDRA,Thursday,5,0,4. Thursday
SAAVEDRA,Thursday,6,7,4. Thursday
SAAVEDRA,Thursday,7,8,4. Thursday
SAAVEDRA,Thursday,8,15,4. Thursday
SAAVEDRA,Thursday,9,44,4. Thursday
SAAVEDRA,Thursday,10,26,4. Thursday
SAAVEDRA,Thursday,11,37,4. Thursday
SAAVEDRA,Thursday,12,38,4. Thursday
SAAVEDRA,Thursday,13,43,4. Thursday
SAAVEDRA,Thursday,14,37,4. Thursday
SAAVEDRA,Thursday,15,15,4. Thursday
SAAVEDRA,Thursday,16,22,4. Thursday
SAAVEDRA,Thursday,17,31,4. Thursday
SAAVEDRA,Thursday,18,23,4. Thursday
SAAVEDRA,Thursday,19,25,4. Thursday
SAAVEDRA,Thursday,20,25,4. Thursday
SAAVEDRA,Thursday,21,14,4. Thursday
